진행도,구분,유형,페이지,엔드포인트,이슈내용
완료,매니저웹,클라이언트,상품,,외부상품 추가하면 -> 이퓨어 상품과 혼재되어서 클라이언트 웹에 노출되는 현상
완료,매니저웹,셀러,라이브 대시보드,,총 시청자 / 현재 시청자 / 좋아요 / 주문금액 수치가 표시되지 않음
완료,클라이언트웹,클라이언트,라이브 방송,,시청자 수가 표시되지 않음
완료,방송송출앱,셀러,방송 진행 중,,문의 채팅 기능 자체가 동작하지 않음
완료,매니저웹,셀러,대시보드,,라이브 현황이 반영되지 않음 -> 새로고침 주기적으로 넣기?
완료,매니저웹,셀러,라이브 예약,,썸네일 이미지 업로드 시 일부 파일이 업로드되지 않음. 파일 크기에 따른 문제로 추정되며 업로드 허용 파일 크기 기준 정의 및 초과 시 안내 문구 필요+이미치 추가 버튼 더 명확하게
완료,매니저웹,셀러,라이브 대시보드,,추천상품 등록 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,하이라이트 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,품절처리 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,상품 수정 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,공지사항 수정 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,구매내역 확인 불가
완료,매니저웹,셀러,정산서 내역,,동작 안 됨
완료,매니저웹,셀러,배송관리,,동작 안 됨
완료,클라이언트웹,클라이언트,라이브 방송,,라이브 도중 추가된 상품은 구매 불가
완료,매니저웹,셀러,라이브 대시보드,,상품 순서변경 기능 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,상품 목록 스크롤 동작 안 됨
완료,매니저웹,셀러,라이브 대시보드,,현재 시청자 / 차단된 사용자 등 시청자 관련 기능 동작 안 됨
완료,매니저웹,셀러,라이브 예약,,프론트에서 한 사람의 계정에 이미 예약한 방송이 있는 경우 라이브 예약창 (이미 예약한 방송이 있습니다.) 팝업으로 추가 예약 막기
완료,매니저웹,셀러,정산현황,,서버에서 MOCK 데이터 반환하고 프론트-서버 엔드포인트 연결만 시키기 (테스트 대상이 아니라서 나중에 서버 중심 수정 가능하게)
완료,클라이언트웹,클라이언트,결제,,가상계좌 결제 선택 후 입금 계좌 안내 페이지가 표시되지 않음
완료,매니저웹,셀러,라이브 예약,,이퓨어상품 추가 후 이퓨어상품 버튼을 재클릭 시 신규 상품 추가 팝업이 아닌 기존에 추가한 상품의 수정 팝업이 열림
진행중,매니저웹,셀러,라이브 대시보드,,문의 채팅 위에 표시되는 안읽은 채팅 수가 읽은 후에도 사라지지 않음
완료,매니저웹,셀러,라이브 대시보드,,방송 연장이 무제한으로 가능함. 연장 횟수 또는 시간 제한 기준 정의 필요
완료,클라이언트웹,클라이언트,전체 공통,,할인율이 있는 모든 영역에서 % 기호가 %% 로 중복 표시됨
완료,클라이언트웹,클라이언트,전체 공통 - 헤더,,헤더의 홈 버튼 클릭 시 로그아웃됨
완료,매니저웹,셀러,라이브 예약,,외부상품 마진 삭제
진행중,클라이언트웹,클라이언트,라이브 방송,,채팅창에서 호스트와 일반 유저 이름 색상 구분이 적용되지 않음
완료,클라이언트웹,클라이언트,마이페이지,,"하단 쿠폰 안내 텍스트가 ""CJ one 쿠폰""으로 표시됨. ""이퓨어 쿠폰""으로 수정 필요"
진행중,방송송출앱,셀러,방송 진행 중 채팅,,채팅창에서 호스트와 일반 유저 이름 색상 구분이 적용되지 않음
완료,매니저웹,셀러,대시보드,,정산 현황 및 즉시 처리해야 할 일 동작 안 됨
완료,매니저웹,셀러,라이브 예약,,상품 이미지 업로드 시 일부 파일이 업로드되지 않음. 썸네일과 동일하게 파일 크기 제한 기준 정의 및 초과 시 안내 문구 필요
진행중,매니저웹,셀러,라이브 대시보드,,채팅창에서 호스트와 일반 유저 이름 색상 구분이 적용되지 않음
완료,매니저웹,셀러,라이브 예약,,외부상품의 할인율이 표시되지 않음
완료,매니저웹,셀러,라이브 예약,,외부상품 등록 시 브랜드명 입력란 누락
진행중,매니저웹,셀러,라이브 예약,,엑셀로 외부상품 업로드 시 정가 입력란 누락
진행중,매니저웹,셀러,라이브 예약,,외부상품 등록용 엑셀 양식 다운로드 파일에 정가 항목 누락. 업로드 양식과 동일하게 정가란 추가 필요
완료,매니저웹,셀러,내 라이브,,등록시간 및 만료시간이 잘못 표시됨
완료,클라이언트웹,클라이언트,브랜드,,상품 정렬 옵션 선택 시 선택한 값(예: 인기순)이 사라지고 표시되지 않음
완료,클라이언트웹,클라이언트,회원가입,,추천인 코드 입력 화면 누락
완료,클라이언트웹,클라이언트,홈 - 메인 배너,,배너 클릭 시 페이지 이동 안 됨
진행중,클라이언트웹,클라이언트,마이페이지,,쿠폰 등록 버튼 클릭 후 등록 성공/실패 여부에 대한 피드백(안내 메시지 등) 없음
진행중,클라이언트웹,클라이언트,전체 공통,,페이지 하단 버튼에 하단 여백(마진) 없음
진행중,클라이언트웹,클라이언트,홈 - 낮은 가격순 / 알뜰 라인업,,가로 드래그(우측 방향) 동작 안 됨
완료,매니저웹,셀러,라이브 예약,,"이퓨어 상품 등록 시 이퓨어 시스템 내 실제 재고 수량으로 표시, 방송재고 수량 기본값이 100으로 고정."
완료,매니저웹,셀러,내 정보,,"방송진행 가능함에도 ""승인대기"" 상태로 표기"
진행중,클라이언트웹,클라이언트,상품 상세,,상품 공유 기능 동작 안 됨
진행중,클라이언트웹,클라이언트,상품 상세,,배송비 정보란 UI 개선
진행중,클라이언트웹,클라이언트,라이브,,라이브 예고 알림 기능 동작 안 됨
진행중,클라이언트웹,클라이언트,마이페이지,,설정 및 문의 영역의 클릭 가능 여부가 직관적으로 인지되지 않음. UI 개선 필요
완료,매니져웹,셀러,라이브 상품 등록,,마반트 상품 이퓨어 재고 1000표시 라이브 상품 등록시 재고 0개 에러
완료,서버,클라이언트,라이브 상품 결제,,라이브 정산서에 이퓨어 상품과 외부 상품 동시에 결제 시도 시 외부 상품 만 결제 안됨
완료,서버,클라이언트,라이브 외부상품,,외부 상품 결제 불가
완료,서버 db,,ec2,,ec2 용량 부족 db sql문 입력 불가 s3 업로드 불가
완료,서버 필드값,클라이언트,라이브 외부상품,"/api/orders/{id}, /api/orders","라이브 외부상품 결제 후 오더 목록 오더 상세 엔드포인트 응답에 ""productImageUrl"": null 외부 상품 이미지는 /api/admin/images/upload 이거로 업로드 사용중"
